#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
20.824120	8.310652
20.861924	8.312851
20.899702	8.316812
20.937478	8.316812
20.975252	8.317253
21.013044	8.311092
21.050852	8.305818
21.088712	8.293539
21.126622	8.279551
21.164592	8.267349
21.202624	8.254316
21.240706	8.243919
21.278834	8.232685
21.317006	8.230097
21.355188	8.224495
21.393382	8.223203
21.431608	8.218041
21.469826	8.220191
21.508038	8.220621
21.546252	8.224065
21.584446	8.224495
21.622644	8.226218
21.660820	8.230097
21.698994	8.230960
21.737164	8.230528
21.775354	8.223634
21.813566	8.218471
21.851828	8.206020
21.890142	8.192325
21.928516	8.179953
21.966954	8.167618
22.005442	8.157015
22.043976	8.145172
22.082560	8.142638
22.121152	8.137155
22.159752	8.136733
22.198382	8.132099
22.237010	8.133363
22.275624	8.135048
22.314246	8.136733
22.352846	8.137998
22.391450	8.140528
22.430028	8.143905
22.468608	8.143905
22.507184	8.143905
22.545780	8.137576
22.584398	8.132099
22.623068	8.118650
22.661794	8.105244
22.700584	8.092300
22.739438	8.079397
22.778346	8.068607
22.817302	8.058258
22.856302	8.054540
22.895316	8.049174
22.934342	8.047937
22.973398	8.043404
23.012448	8.045052
23.051490	8.046288
23.090532	8.049587
23.129554	8.049999
23.168580	8.051650
23.207582	8.056192
23.246582	8.056192
23.285580	8.055779
23.324598	8.049587
23.363638	8.043404
23.402736	8.030246
23.441890	8.015903
23.481110	8.004058
23.520392	7.991028
23.559732	7.980472
23.599120	7.969136
23.638554	7.966307
23.678002	7.960251
23.717460	7.960654
23.756944	7.956219
23.796424	7.957428
23.835894	7.958638
23.875370	7.961058
23.914822	7.962268
23.954278	7.964287
23.993710	7.968327
24.033138	7.968327
24.072568	7.967519
24.112016	7.961865
24.151492	7.954607
24.191022	7.941738
24.230616	7.927709
24.270272	7.914927
24.310000	7.901787
24.349782	7.891466
24.389612	7.880776
24.429492	7.877219
24.469386	7.870904
24.509292	7.870904
24.549228	7.866174
24.589158	7.868144
24.629076	7.869721
24.668994	7.872877
24.708890	7.873666
24.748790	7.875640
24.788664	7.879986
24.828538	7.879590
24.868410	7.878800
24.908306	7.872087
24.948228	7.865780
24.988208	7.852411
25.028250	7.839087
25.068360	7.825029
25.108542	7.811798
25.148784	7.800935
25.189078	7.790489
25.229416	7.787399
25.269772	7.781613
25.310136	7.781227
25.350532	7.776989
25.390922	7.777760
25.431302	7.779686
25.471684	7.782769
25.512042	7.783155
25.552406	7.785084
25.592744	7.789330
25.633080	7.789330
25.673416	7.788558
25.713774	7.781613
25.754162	7.774680
25.794610	7.762002
25.835120	7.747836
25.875700	7.734484
25.916354	7.721177
25.957068	7.710944
25.997832	7.699982
26.038648	7.696586
26.079480	7.690557
26.120320	7.690181
26.161194	7.686042
26.202060	7.687923
26.242912	7.689804
26.283764	7.693194
26.324592	7.693948
26.365424	7.695832
26.406232	7.699982
26.447034	7.699605
26.487840	7.698850
26.528670	7.692064
26.569528	7.684914
26.610450	7.671777
26.651440	7.656819
26.692502	7.643406
26.733644	7.629669
26.774844	7.619307
26.816100	7.608236
26.857406	7.605657
26.898726	7.599769
26.940054	7.599402
26.981418	7.594992
27.022770	7.597196
27.064112	7.599402
27.105450	7.602344
27.146766	7.603448
27.188082	7.605289
27.229376	7.609341
27.270666	7.608973
27.311958	7.608236
27.353274	7.600505
27.394626	7.593891
27.436040	7.580332
27.477522	7.566092
27.519078	7.552632
27.560712	7.538857
27.602414	7.528018
27.644170	7.516491
27.685984	7.512896
27.727812	7.507151
27.769650	7.507151
27.811524	7.502490
27.853390	7.503565
27.895244	7.505716
27.937100	7.508946
27.978928	7.509664
28.020762	7.512178
28.062566	7.515772
28.104372	7.515053
28.146180	7.514334
28.188012	7.507510
28.229878	7.499624
28.271814	7.485686
28.313822	7.471088
28.355908	7.457256
28.398076	7.443827
28.440308	7.432907
28.482600	7.421669
28.524944	7.418865
28.567306	7.412214
28.609678	7.412913
28.652082	7.408368
28.694478	7.410815
28.736856	7.412913
28.779236	7.416063
28.821586	7.417464
28.863940	7.419566
28.906268	7.423423
28.948592	7.422371
28.990922	7.422020
29.033278	7.413963
29.075672	7.406622
29.118134	7.392678
29.160672	7.378095
29.203290	7.363568
29.245994	7.350474
29.288766	7.338798
29.331600	7.327501
29.374488	7.324767
29.417390	7.319306
29.460304	7.318965
29.503252	7.315216
29.546188	7.316579
29.589112	7.319306
29.632034	7.321694
29.674928	7.324084
29.717822	7.325792
29.760694	7.329210
29.803560	7.328868
29.846434	7.327501
29.889334	7.319988
29.932274	7.312151
29.975288	7.297544
30.018378	7.283670
30.061550	7.268840
30.104812	7.255410
30.148144	7.244368
30.191536	7.233026
30.234988	7.229365
30.278456	7.224045
30.321934	7.223713
30.365446	7.220392
30.408946	7.222716
30.452428	7.225042
30.495908	7.228034
30.539360	7.229697
30.582814	7.231694
30.626240	7.235358
30.669668	7.234359
30.713100	7.233026
30.756560	7.225706
30.800062	7.217406
30.843640	7.203175
30.887300	7.188012
30.931046	7.173569
30.974886	7.159183
31.018798	7.148431
31.062774	7.137064
31.106806	7.134470
