#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
123.518072	1.030091
123.808956	1.156562
124.073716	1.233555
124.326854	1.261643
124.579468	1.238564
124.843372	1.161600
125.134896	1.025204
125.488576	0.818051
126.382548	0.319505
126.952768	0.301589
127.891046	0.723639
128.290474	0.911336
128.619274	1.029160
128.919724	1.081086
129.213770	1.070477
129.520914	0.996907
129.871806	0.842887
130.845346	0.302129
131.383842	0.278709
132.426870	0.691789
132.854590	0.820902
133.231878	0.866178
133.606272	0.832528
134.024782	0.711714
135.083718	0.275672
135.695654	0.262849
136.801248	0.631900
137.278064	0.725012
137.722080	0.714554
138.227686	0.586238
138.891838	0.346502
139.967432	0.293658
140.758472	0.470689
141.403250	0.545925
142.032556	0.491639
142.904382	0.288062
144.017364	0.258819
145.011274	0.402045
145.867016	0.375863
147.430242	0.138840
149.112074	0.257461
151.613058	0.089341
