#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
66.879634	4.724484
66.945858	4.763020
67.011544	4.803218
67.076668	4.842607
67.141248	4.887813
67.205216	4.934180
67.268582	4.981594
67.331336	5.031378
67.393454	5.083319
67.454968	5.132483
67.515888	5.181410
67.576268	5.226580
67.636130	5.269714
67.695546	5.307641
67.754522	5.346118
67.813108	5.379071
67.871320	5.415419
67.929166	5.446778
67.986686	5.478503
68.043834	5.513307
68.100672	5.543074
68.157180	5.575934
68.213354	5.610187
68.269176	5.642634
68.324664	5.682232
68.379746	5.723642
68.434434	5.765660
68.488716	5.810017
68.542566	5.857028
68.596018	5.900148
68.649088	5.940086
68.701866	5.968978
68.754442	5.984442
68.806970	5.983074
68.859560	5.967164
68.912374	5.933355
68.965532	5.890413
69.019122	5.835487
69.073242	5.777110
69.127860	5.723434
69.183036	5.666245
69.238742	5.612994
69.294982	5.560341
69.351752	5.505578
69.409078	5.456048
69.466908	5.408520
69.525252	5.360897
69.584100	5.316263
69.643426	5.273960
69.703258	5.229190
69.763600	5.183633
69.824502	5.134832
69.885998	5.083154
69.948160	5.027031
70.011014	4.970245
70.074630	4.907665
70.139052	4.847389
70.204310	4.781578
70.270488	4.715407
70.337572	4.649940
70.405668	4.579314
70.474798	4.510542
70.544988	4.442800
70.616242	4.373893
70.688608	4.310046
70.762020	4.248726
70.836500	4.188008
70.912054	4.129111
70.988674	4.071530
71.066428	4.011329
71.145370	3.949205
71.225626	3.882440
71.307302	3.811872
71.390596	3.735633
71.475632	3.655395
71.562640	3.569099
71.651800	3.481452
71.743300	3.388331
71.837410	3.292729
71.934288	3.195143
72.034304	3.091814
72.137720	2.987838
72.244826	2.882936
72.355922	2.775602
72.471400	2.670242
72.591466	2.566032
72.716484	2.463685
72.846784	2.362633
72.982774	2.261994
73.125054	2.159526
73.274490	2.052497
73.432706	1.930911
73.602288	1.789938
73.787486	1.625124
73.995124	1.432803
74.239456	1.195386
74.563680	0.870706
75.023762	0.476158
75.778040	0.438907
76.275772	0.795127
76.630242	1.095983
76.896160	1.320929
77.121340	1.500985
77.322030	1.650724
77.506096	1.777160
77.678346	1.882208
77.841926	1.966617
77.998988	2.038777
78.150726	2.104722
78.297794	2.169398
78.440422	2.237219
78.578630	2.309349
78.712454	2.387664
78.841720	2.473383
78.966528	2.563394
79.086940	2.657232
79.203114	2.755058
79.315248	2.850396
79.423752	2.944985
79.528826	3.037997
79.630830	3.125465
79.730070	3.209834
79.826828	3.286597
79.921440	3.358555
80.014126	3.422587
80.105204	3.479755
80.194906	3.526709
80.283490	3.568775
80.371078	3.605307
80.457800	3.640569
80.543664	3.677216
80.628646	3.715399
80.712734	3.757257
80.795756	3.807899
80.877674	3.862487
80.958388	3.921794
81.037852	3.986590
81.116024	4.049801
81.192998	4.115264
81.268736	4.181542
81.343326	4.243675
81.416828	4.306501
81.489296	4.364414
81.560840	4.420793
81.631516	4.470364
81.701462	4.515469
81.770768	4.551713
81.839530	4.586401
81.907808	4.617273
81.975640	4.645814
82.043026	4.677773
82.109938	4.711447
82.176368	4.748047
82.242212	4.791497
82.307476	4.836196
82.372116	4.883861
82.436102	4.937127
82.499384	4.988872
82.562026	5.043980
82.624004	5.095687
82.685452	5.133825
82.746514	5.159964
82.807394	5.164885
82.868322	5.153869
82.929490	5.121605
82.991154	5.073304
83.053474	5.010994
83.116632	4.940854
83.180698	4.866913
83.245746	4.794129
83.311794	4.720225
83.378866	4.647326
83.446982	4.578113
