#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
75.707	489	75.733	504
75.757	479	75.783	506
75.809	468	75.834	510
75.859	454	75.884	510
75.910	442	75.936	510
75.960	429	75.986	507
76.011	418	76.037	504
76.062	408	76.087	499
76.113	401	76.138	493
76.163	396	76.189	486
76.214	394	76.240	479
76.264	395	76.290	472
76.316	398	76.341	466
76.366	405	76.391	460
76.417	413	76.443	455
76.467	423	76.493	452
76.518	436	76.544	449
76.569	447	76.594	449
76.620	461	76.645	452
76.670	473	76.695	454
76.721	483	76.747	459
76.771	492	76.797	465
76.822	497	76.848	472
76.873	502	76.898	478
76.924	503	76.949	486
76.974	502	77.000	493
77.025	498	77.051	501
77.075	492	77.101	506
77.127	482	77.152	511
77.177	472	77.202	514
77.228	460	77.254	515
77.278	448	77.304	514
77.329	436	77.355	513
77.380	425	77.405	509
77.431	415	77.456	504
77.481	407	77.506	497
77.532	400	77.558	490
77.582	397	77.608	482
77.633	397	77.659	474
77.684	400	77.709	468
77.735	405	77.760	460
77.786	411	77.811	454
77.836	421	77.862	449
77.887	431	77.912	447
77.938	443	77.963	445
77.989	454	78.013	446
78.039	465	78.065	448
78.090	476	78.115	453
78.140	485	78.166	460
78.192	492	78.216	466
78.242	496	78.267	474
78.293	500	78.317	482
78.343	499	78.369	491
78.394	497	78.419	499
78.444	491	78.470	506
78.496	485	78.520	512
78.546	475	78.571	517
78.597	465	78.622	519
78.647	454	78.673	520
78.698	443	78.723	519
78.749	432	78.774	516
78.800	423	78.824	510
78.850	415	78.876	504
78.901	408	78.926	496
78.951	403	78.977	487
79.003	402	79.027	478
79.053	402	79.078	469
79.104	405	79.129	461
79.154	410	79.180	453
79.205	418	79.230	447
79.255	427	79.281	443
79.307	438	79.331	441
79.357	447	79.382	440
79.408	458	79.433	443
79.458	469	79.484	447
79.509	478	79.534	453
79.560	486	79.585	460
79.611	491	79.635	470
79.661	495	79.687	479
79.712	496	79.737	488
79.762	495	79.788	498
79.814	491	79.838	506
79.864	486	79.889	513
79.915	478	79.940	519
79.965	469	79.991	523
80.016	460	80.041	524
80.066	449	80.092	524
80.118	439	80.142	521
80.168	429	80.193	516
80.219	421	80.244	509
80.269	414	80.295	501
80.320	409	80.345	492
80.371	406	80.396	482
80.422	406	80.446	472
80.472	407	80.498	463
80.523	412	80.548	454
80.573	418	80.599	447
80.625	425	80.649	441
80.675	434	80.700	438
80.726	443	80.751	437
80.776	453	80.802	439
80.827	463	80.853	442
80.877	473	80.903	447
80.929	479	80.954	454
80.979	485	81.004	464
81.030	490	81.056	473
81.080	491	81.106	484
81.131	491	81.157	494
81.182	489	81.207	504
81.233	485	81.258	512
81.283	478	81.309	519
81.334	472	81.360	524
81.384	463	81.410	527
81.436	454	81.461	527
81.486	444	81.511	526
81.537	436	81.563	521
81.587	427	81.613	515
81.638	421	81.664	507
81.689	416	81.714	498
81.740	412	81.765	487
81.790	410	81.815	477
81.841	411	81.867	466
81.891	414	81.917	456
81.942	418	81.968	448
81.993	424	82.018	442
82.044	432	82.069	437
82.094	440	82.120	434
82.145	449	82.171	435
82.195	457	82.221	437
82.247	466	82.272	442
82.297	472	82.322	449
82.348	479	82.374	458
82.398	483	82.424	468
82.449	486	82.475	479
82.500	487	82.525	489
82.551	486	82.576	500
82.601	483	82.626	510
82.652	479	82.678	518
82.702	473	82.728	524
82.753	465	82.779	529
82.804	457	82.829	530
82.855	449	82.880	530
82.905	441	82.931	526
82.956	434	82.982	520
83.006	428	83.032	512
83.058	421	83.083	503
83.108	418	83.133	493
83.159	416	83.185	482
83.209	415	83.235	471
83.260	417	83.286	460
83.311	419	83.336	451
83.362	424	83.387	442
83.412	431	83.437	437
83.463	437	83.489	433
83.513	445	83.539	432
83.564	452	83.590	433
83.615	459	83.640	438
83.666	466	83.691	444
83.716	473	83.742	452
83.767	477	83.793	462
83.817	481	83.843	473
83.869	482	83.894	484
83.919	482	83.944	495
83.970	480	83.996	506
84.020	477	84.046	516
84.071	473	84.097	523
84.122	467	84.147	529
84.173	460	84.198	532
84.223	453	84.249	532
84.274	445	84.300	530
84.324	439	84.350	526
84.375	433	84.401	519
84.426	427	84.451	510
84.477	424	84.502	500
84.528	421	84.553	488
84.578	420	84.604	476
84.629	421	84.654	464
84.680	423	84.705	454
84.731	426	84.755	445
84.781	431	84.807	437
84.832	436	84.857	433
84.882	443	84.908	431
84.934	449	84.958	432
84.984	456	85.009	433
85.035	462	85.060	439
85.085	467	85.111	448
85.136	471	85.161	456
85.186	475	85.212	467
85.238	477	85.262	478
85.288	477	85.313	491
85.339	477	85.364	502
85.389	474	85.415	512
85.440	470	85.465	520
85.491	466	85.516	528
85.542	461	85.566	532
85.592	456	85.618	533
85.643	449	85.668	533
85.693	444	85.719	530
85.745	438	85.769	523
85.795	433	85.820	515
