#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
25.269	304	25.295	596
25.320	324	25.346	581
25.371	348	25.396	560
25.422	378	25.447	534
25.472	413	25.498	504
25.523	449	25.549	474
25.573	486	25.599	443
25.625	520	25.650	413
25.675	551	25.700	388
25.726	577	25.752	366
25.776	597	25.802	352
25.827	607	25.853	344
25.878	610	25.903	341
25.929	604	25.954	347
25.979	590	26.004	359
26.030	568	26.056	377
26.080	541	26.106	401
26.131	508	26.157	428
26.182	473	26.207	458
26.233	437	26.258	489
26.283	400	26.309	519
26.334	367	26.360	547
26.384	338	26.410	570
26.436	315	26.461	587
26.486	299	26.511	599
26.537	293	26.563	603
26.587	293	26.613	603
26.638	302	26.664	593
26.689	318	26.714	577
26.740	342	26.765	556
26.790	371	26.815	532
26.841	404	26.867	503
26.891	440	26.917	473
26.942	477	26.968	443
26.993	512	27.018	414
27.044	543	27.069	389
27.095	571	27.120	369
27.145	592	27.171	354
27.196	604	27.221	346
27.247	608	27.272	345
27.298	606	27.322	350
27.348	593	27.374	363
27.399	574	27.424	381
27.449	547	27.475	404
27.501	516	27.525	431
27.551	481	27.576	461
27.602	445	27.626	490
27.652	410	27.678	519
27.703	374	27.728	546
27.753	345	27.779	568
27.805	321	27.829	585
27.855	303	27.880	597
27.906	294	27.931	601
27.956	293	27.982	599
28.007	299	28.032	589
28.058	315	28.083	574
28.109	336	28.133	554
28.159	365	28.185	528
28.210	396	28.235	500
28.260	431	28.286	471
28.312	468	28.336	442
28.362	503	28.387	414
28.413	535	28.438	390
28.463	564	28.489	370
28.514	586	28.539	356
28.564	600	28.590	348
28.616	606	28.640	347
28.666	605	28.691	352
28.717	595	28.742	365
28.767	577	28.793	384
28.818	552	28.843	407
28.869	523	28.894	434
28.920	489	28.944	462
28.970	454	28.996	492
29.021	418	29.046	521
29.071	384	29.097	546
29.123	353	29.147	569
29.173	327	29.198	585
29.224	307	29.249	595
29.274	297	29.300	600
29.325	294	29.350	596
29.375	299	29.401	587
29.427	311	29.451	572
29.477	331	29.502	552
29.528	358	29.553	527
29.578	388	29.604	499
